Name,Food groups,Serving size,Serving Count,Last Updated,Source,Ingredients,Notes - Nutrition summary,Tags,Food,Fat (g),Sat Fat (g),Fiber (g),Sugar (g),Sodium (mg),Protein (g),Iron DV%,Calcium DV%,Company,Entree in meal combo,FS ratio,PS ratio,Related to Sides calculations for rice and scrappy tomato stew (Side page),Side in meal combo,Sides calculations for rice and scrappy tomato stew (Side page),Total Carbs (g),Unit Count,Unit size,Vitamin C DV%,Vitamin D DV%,Magnesium DV%,Zinc DV%,Added Sugar (g),Related to Nutrition Calculator (Food),cost per main property,price per serving,Vitamins and minerals per serving,Storage,Pairs with,Vitamin B1 DV%,Vitamin B12 DV%,Vitamin B2 DV%,Vitamin B3 DV%,Vitamin B5 DV%,Vitamin B6 DV%,Vitamin B7 DV%,Vitamin B9 DV%,Created time,Last edited time,Potassium DV%
banana nut bars,"grains, protein","1 piece (8 pieces per tray) (86 g)


 - alt is 1/3 of 1/4 which is 1/12 of a tray",0,"September 16, 2022 5:57 PM (CDT)",Conrad Hansen-Quartey (myself),,,"Good PS Ratio (1.5 <= x < 3), Ok FS Ratio (1 <= x < 1.5), snacks","https://www.notion.so/nut-and-seed-bars-6a14936cf1af40e08f13c2d3f2789687, https://www.notion.so/granola-bars-65810c7af94740bfbf0c4d1cc54df0de",12.45,1.5125,6.025,9.57375,140.8,7.925,,,,,1.26,2.59,,,,,0,1 tray,,,,,5.67375,"https://www.notion.so/banana-nut-bars-whole-tray-of-8-servings-72edf27104494d34a638c8f3db0f946b, https://www.notion.so/0-5-serving-banana-nut-bars-aa117a954dd74dbc880938011e90494c, https://www.notion.so/1-banana-nut-bar-7107433dcbb84f17bee06835e0688705",,$0.729,,Pantry,,,,,,,,,,"August 16, 2022 5:51 PM","September 16, 2022 6:57 PM",
Kroger large grade A eggs,protein,eggs,0,"December 13, 2022 3:50 PM (CST)",Kroger,,,edit week 45-46,https://www.notion.so/eggs-9d48f18495834beb8dd2ae83f15f8f9c,5,1.5,0,0,70,6,4,2,Kroger,,N/A,3.94,,,,0,0,packages (60 per package),,6,,4.5,0,"https://www.notion.so/1-egg-cac84f3695564bcd83e1f3429c94da76, https://www.notion.so/3-egg-white-placeholder-2eac9decbe11486f93446a6041bbb2be, https://www.notion.so/4-eggs-fd0c88a9adcd460d9e7b094923e9a431, https://www.notion.so/4-eggs-7a4010d8d0f64ffca779c6db3fb2f4e4, https://www.notion.so/6-large-eggs-0354802e1262427999538b66413a6442",,$0.25 per egg,,Fridge,,,,,,,,,,"August 11, 2022 4:50 AM","December 13, 2022 4:50 PM",
Simple Truth gluten-free cassava flour,"protein, vegetables",1/4 cups (32g) (1 oz) - 14 servings per container,0,"August 10, 2022 11:04 PM (CDT)",Kroger,,,"Strength: Vitamin B1, cooking ingredient, flour, flour: cassava flour",,0,0,1,2,10,1,0,2,Simple Truth,,1,4.6,,,,28,0,bags,,,,,0,https://www.notion.so/cassava-flour-de843b1c57614398a83eaf2e35d99cbf,,,,,,39.34,,16.1,9.51,31.48,40.66,,137.04,"August 11, 2022 12:03 AM","December 3, 2022 12:37 AM",
"Healthy Choice: Soup, Chicken Noodle","grains, protein, vegetables",1-cup servings,0,"August 8, 2022 11:22 PM (CDT)",Home,"Chicken Broth, Cooked Chicken, Chicken Breast with Rib Meat, Water, Modified Rice Starch, Isolated Soy Protein, Salt, Sodium Phosphates, Carrots, Enriched Egg Noodles, Durum Wheat Semolina, Whole Egg, Egg White, Niacin, Iron [Ferrous Sulfate], Thiamine Mononitrate, Riboflavin, Folic Acid, Celery

Less than 2% of:
Modified Corn Starch, Potassium Chloride, Flavorings, Yeast Extract, Sugar, Salt, Rendered Chicken Fat, Chicken Fat, Potato Starch, Chicken Powder, Erythorbic Acid, Lactic Acid, Malic Acid, Beta Carotene (Color)","Issues include:

Modified Rice Starch
Isolated Soy Protein
sodium phosphate 
Modified Corn Starch

same as Campbell’s healthy select soup, except an extra starch","Opening ease: Easy open tab for lid, soup",,2,0.5,1,1,390,7,4,0,,,2,0.83,,,,14,0,cans,0,0,,,0.5,,,,,,3 hard boiled eggs (18g protein) and bread (4g fiber and some protein). Would make total rpotein 20g to the 17% DV SODIUM and total fiber 4g.,,,,,,,,,"August 9, 2022 12:21 AM","August 18, 2022 11:25 PM",
Conrad’s 3-egg korma omelette,protein,1 omelette (3 eggs),0,"August 4, 2022 11:23 AM (CDT)",Conrad Hansen-Quartey (myself),,,"Staple, Stellar PS Ratio (+3), low sodium protein",https://www.notion.so/egg-omelette-a3091197b1fa48fd93bed7386e74c6f7,18,5.75,1,1.5,445,19.5,12,6,,,1.33,2.02,,,,6.5,0,1 omelette (3 eggs),0,15,4.5,13.5,0,"https://www.notion.so/1-3-egg-omelette-d7f093e9018949f88d1bead67f40018b, https://www.notion.so/omelete-88e647a246b24a67874f48110dbfebb6, https://www.notion.so/3-egg-omelette-d8ad6aa28b5d4eae83aed2b42917ebf9, https://www.notion.so/1-3-egg-omelette-5adcde6e18784f37923eb07b6b99424f",,,"Vitamin D (82%), vitamin B12 (15%), Choline (59%), iron (14%), lutein and zeaxanthin (530 ug) (up to 6 mg recommended), Vitamin B2 (24%), Vitamin B5 (22%), Vitamin A (14%), vitamin E (20%), phosphorus (21%), folate (49%), iodine (29%), selenium (41%), zinc (9%)",,3-egg omelet and 0.5 servings of vegetable korma,,,,,,,,,"August 4, 2022 8:47 AM","August 6, 2022 6:30 PM",
"Birds eye baby broccoli florets (3 oz - 85g serving) ",,3 oz portion (93 g),0,"October 15, 2022 9:31 PM (CDT)",Kroger,broccoli florettes,"Instructions
Stove top
1. Empty frozen contents of bag into a 2-quart nonstick sauce pan. Add ¼ cup water.
2. Cook covered over medium heat for 10 to 11 minutes or until heated through, stirring occasionally.
3. Let stand for 1 to 2 minutes. Drain and serve.For microwave ovens less than 800 watts please use stove top instructions. 

Microwave instructions
1. Place frozen, unopened bag this side up, laying flat in microwave. Do not pierce bag. For microwaves with a metal rack, remove rack.
2. Microwave on high for the recommended cook time based on your microwave wattage. During cooking, the bag will slowly inflate. A special vent in the bag will allow the steam to escape and a whistling sound may be heard.
3. Let stand for 1-2 minutes after cooking. Carefully handle bag at corners marked with the red ovals and remove from microwave with two hands. Hold bag over serving dish. Tear bag at notch. Pour, stir and enjoy!


Safe Handling Instructions
For food safety & quality follow these instructions carefully:Microwave ovens vary-adjust cooking times as needed to reach 165°F as measured by a food thermometer taken in several spots. Keep frozen-Do not thaw. Cook thoroughly to a temperature of 165°F. Cook 1 product at a time. Promptly refrigerate any leftovers. Reheat before serving.Caution! Contents are hot. Handle with care.","Good FS Ratio (1.5 <= x < 3), Good PS Ratio (1.5 <= x < 3)",,0,0,2,2,20,1,0,2,,,2,2.3,,,,4,0,bags (2.5 servings per bag),70,,8.25,,0,"https://www.notion.so/1-broccoli-serving-d61d922d44b0422698179893a02263da, https://www.notion.so/119-g-Campus-Dining-steamed-broccoli-13aaa0a954d941acb68f10279eea5a20, https://www.notion.so/60g-broccoli-1a3d2606f7524bc191aca411fbf3eeca, https://www.notion.so/broccoli-half-the-package-4df05d2e3228497ba8bfdc01723a0d7f",,,,,,,,,,,,,,"August 4, 2022 12:31 AM","October 15, 2022 10:31 PM",
Marie Callendar’s chicken pot pie tender white meat chicken,"grains, protein, vegetables",pies,0,"September 23, 2022 1:14 AM (CDT)",pastor jerry,,,,https://www.notion.so/pot-pie-31f8929bd93b43c08a9570a68eb200fc,36,15,2,3,950,17,25,2,,,1.33,0.82,,,,55,0,pies,,0,,,0.9,https://www.notion.so/1-pot-pie-9080adca434f41df99fc5d5a6793665c,,,,freezer,"3-egg omelette / 1 can (3 oz) fish (sardines/tuna/salmon/etc),  2 serving chickpea oat bread  ",,,,,,,,,"July 26, 2022 8:35 PM","September 23, 2022 2:14 AM",
"Zee zee’s spicy sunflower seeds, Snack Bags","protein, vegetables",1 oz pouch,0,"July 24, 2022 11:38 PM (CDT)",,,,snacks,https://www.notion.so/Sunflower-seeds-c57ed7734f5446ec86132fbfadd4cc3e,17,2.5,3,1,170,6,10,0,,,6,1.62,,,,8,0,boxes,0,0,,,0,"https://www.notion.so/1-5-zee-zee-s-sunflower-seeds-71027c0c66bb43fa908f6129211cad71, https://www.notion.so/1-zee-zee-spicy-sunflower-kernels-3cd66b97cd264339b9a60a0b4299bf0b",,,,Pantry,,,,,,,,,,"July 25, 2022 12:37 AM","October 29, 2022 7:18 PM",
Bible Camp - Baked Oatmeal - estimate,,6 oz portion (169 g),0,"July 24, 2022 11:34 PM (CDT)",,,,,https://www.notion.so/Oatmeal-157589c46c1540f181da19a9735c8cf6,2,0,3,17,200,4,6,2,,,0.35,0.92,,,,18,0,,0,0,1.16,,0,https://www.notion.so/2-serving-baked-oatmeal-from-camp-kitchen-too-much-sugar-b5b96f4698d748aa9fabe85d2ac12350,,,,,,,,,,,,,,"July 25, 2022 12:34 AM","July 25, 2022 12:35 AM",
Bible camp - scrambled eggs - 4 oz portion  (124g) - estimate,protein,4 oz portion  (124g),0,"July 24, 2022 11:26 PM (CDT)",Dining Hall (Vanderbilt Campus Dining),,"protein equivalent to 3 eggs, so 3 eggs must be used in this.","Staple, low sodium protein",https://www.notion.so/scrambled-eggs-50cf6ea2319e4cd4862b3b761b854ef1,21,8,0,2,690,17,20,8,,,0,1.13,,,,3,0,4 oz portion  (124g),4,59.25,4.5,13.5,,https://www.notion.so/1-serving-egg-from-camp-kitchen-d1b9d5a0ea0049c4b3cc75443b58767b,,,"vitamin A (80%), vitamin C (4%), calcium (8%), iron (20%)",,,,,,,,,,,"July 25, 2022 12:24 AM","July 25, 2022 12:26 AM",
"[watered down] Go Raw - Organic Sprouted Pumpkin Seeds, big bag","protein, vegetables",1 oz servings (14 per bag),0,"September 16, 2022 6:50 PM (CDT)","Go Raw, Instacart, Thrive Market, Walmart","Organic Sprouted Pumpkin Seeds, Sea Salt",,"Accomodation Food, Good PS Ratio (1.5 <= x < 3), Soaked/sprouted, Staple, Strength: Magnesium, Thrive Values: Keto, Thrive Values: Made in USA, Thrive Values: Organic, Thrive values: vegan, Thrive values: vegetarian, easy to digest, low sodium protein, snacks",https://www.notion.so/Pumpkin-seeds-bfa8df7d804e4355ab226e1ad0f9fa78,13,2.5,3,0,80,8,10,0,Go Raw,,N/A,4.6,,,,4,0,Bags,0,0,40,20,0,"https://www.notion.so/pumkin-seeds-520728ab9f4f42e0939fcabc6dbef7a2, https://www.notion.so/0-5-serving-pumpkin-seeds-d7559b1e03384ca290b32551248bc76c, https://www.notion.so/1-pumpkin-seeds-packets-667a411d21e347a8ab41ac1e55af1d95, https://www.notion.so/2-serving-pumpkin-seeds-849306c4225f4584899c29a8433ecc72, https://www.notion.so/2-pumpkin-seeds-dd93a2d62f12427898aa4a25857b3b64, https://www.notion.so/2-pumpkin-seed-packets-7e04ba8a23ad4247bf06e638a3666101, https://www.notion.so/1-serving-pumpkin-seeds-1f805c20bff04597a7ffcc3d13075100, https://www.notion.so/3-serving-pumpkin-seeds-watered-down-301e5e92af4042e6a59ec73e7ff9260a, https://www.notion.so/2-serving-pumpkin-seeds-4fa24d14ffca40f5928d09d76aa01395, https://www.notion.so/2-serving-pumpkin-seed-6437d48403524e3f816a4a60098a2b67, https://www.notion.so/64g-pumpkin-seeds-a79c032d8b4b47e68b40f4cf8bf9d11d, https://www.notion.so/0-5-serving-pumpkin-seeds-watered-down-25f046db1309470bbb6c21c419767d90, https://www.notion.so/2-serving-pumpkin-seeds-watered-down-d4dde3f64e134698bea13dbd15b1804f, https://www.notion.so/1-5-pumpkin-seed-a04b450e4a6a4182828e5f5982f04ceb","$13.44 per box →
$1.12 per bag → $0.124 per gram of protein

16.19 per box →
$1.349167 per bag → $0.1686458333 per gram of protein

30% extra off
$12.14 per box →
$1.01167 per bag → $0.1124 per gram of protein ($0.1124077778)",,,,,,,,,,,,,"July 23, 2022 5:15 PM","December 19, 2022 4:32 AM",4
"Go Raw - Organic Sprouted Pumpkin Seeds, big bag","protein, vegetables",1 oz servings (14 per bag),0,"September 16, 2022 6:50 PM (CDT)","Go Raw, Instacart, Thrive Market, Walmart","Organic Sprouted Pumpkin Seeds, Sea Salt",,"Accomodation Food, Good PS Ratio (1.5 <= x < 3), Soaked/sprouted, Staple, Strength: Magnesium, Thrive Values: Keto, Thrive Values: Made in USA, Thrive Values: Organic, Thrive values: vegan, Thrive values: vegetarian, easy to digest, low sodium protein, snacks",https://www.notion.so/Pumpkin-seeds-bfa8df7d804e4355ab226e1ad0f9fa78,13,2.5,3,0,135,8,10,0,Go Raw,,N/A,2.73,,,,4,0,Bags,0,0,40,20,0,"https://www.notion.so/pumkin-seeds-520728ab9f4f42e0939fcabc6dbef7a2, https://www.notion.so/0-5-serving-pumpkin-seeds-d7559b1e03384ca290b32551248bc76c, https://www.notion.so/1-pumpkin-seeds-packets-667a411d21e347a8ab41ac1e55af1d95, https://www.notion.so/2-serving-pumpkin-seeds-849306c4225f4584899c29a8433ecc72, https://www.notion.so/2-pumpkin-seeds-dd93a2d62f12427898aa4a25857b3b64, https://www.notion.so/2-pumpkin-seed-packets-7e04ba8a23ad4247bf06e638a3666101, https://www.notion.so/1-serving-pumpkin-seeds-1f805c20bff04597a7ffcc3d13075100","$13.44 per box →
$1.12 per bag → $0.124 per gram of protein

16.19 per box →
$1.349167 per bag → $0.1686458333 per gram of protein

30% extra off
$12.14 per box →
$1.01167 per bag → $0.1124 per gram of protein ($0.1124077778)",,,,,,,,,,,,,"July 23, 2022 5:11 PM","December 19, 2022 4:33 AM",4
"Donatos - Margherita Pizza, 14” gluten free","dairy, grains, protein, vegetables",slices (each 1/14 of the pizza). 8 slices is Xg (1.96x the area of small means 1.96 times the mass) - 329g*1.96 = 644.84g,0,"July 18, 2022 11:06 PM (CDT)",Donatos (TON),"“10"" cauliflower crust topped with red sauce, smoked Provolone, Romano, freshly cut green peppers and onions, mushrooms and plant-based sausage.”","Update

A Conrad serving size is 1/5 of the pizza
————————————————————————————————————
A Conrad serving size is 1/4 to 1/2 of the small pizza - 3 - 7 slices (it depends)

Order a custom order pizza next time - veggie pizza including cauliflower, plus chicken","Good FS Ratio (1.5 <= x < 3), Ok PS Ratio (1 <= x < 1.5), Staple, Tastes Of Nashville (TON), favorite - TON, restaurant",https://www.notion.so/Good-Pizza-ec580b050e4b47d7a08be5cffb6913ac,8,3.5,1,1,270,7,,,Donatos,,2,1.19,,,,11,0,medium 14” pizza,0,0,,,0,https://www.notion.so/0-7-margherita-pizza-medium-0ec52c40b60e4d60b09dd12baaac1059,,"($15.50 per pizza - extra for extra toppings)
($19.99 per gluten free pizza - extra for extra toppings)",,,,,,,,,,,,"July 18, 2022 11:37 PM","July 19, 2022 12:06 AM",
LAY'S® Wavy Original Potato Chips,snacks,1 oz (28g),0,"July 17, 2022 11:36 PM (CDT)","Amazon, Instacart, Kroger, Target, Walmart","Potatoes, Vegetable Oil (Sunflower, Corn, and/or Canola Oil), and Salt.",,snacks,https://www.notion.so/Potato-chips-654a8ebf05c14d559d9c55ac0b76f0c9,10,1.5,1,0.5,140,2,,,,,4,0.66,,,,15,0,bags,,,,,0,"https://www.notion.so/1-serving-lays-wave-natural-chips-a378337fe104445490c6b1c32eaeb353, https://www.notion.so/1-bag-of-lays-wavy-chips-a2238c68956841188af7b93754419e2c",,,,Pantry,,,,,,,,,,"July 18, 2022 12:36 AM","October 27, 2022 10:35 PM",
boiled-steamed Broccoli (3 oz - 93g) - 1 cup,,3 oz portion (93 g),0,,"Bethel Activate, Kroger",broccoli florettes,,"Poor PS Ratio (<0.8), Stellar FS Ratio (+3)",,1.5,0,3,1,5,2,4,4,,,6,18.4,,,,7,0,,70,,8.25,,0,"https://www.notion.so/1-serving-broccoli-17906c3f853c4201afaecea67812d2ff, https://www.notion.so/100g-broccoli-2f47d317d5da4f61880fb7f147406ccc, https://www.notion.so/1-serving-broccoli-8803ad880ef844d28288d2167c3133cd, https://www.notion.so/a-3-oz-serving-of-raw-broccoli-placeholder-used-5333b9cab08a48848d690df940b99f67",,,,,,,,,,,,,,"July 18, 2022 12:18 AM","July 18, 2022 12:19 AM",
[Update] Titus Sardines (soybean oil with chili pepper),protein,1 can (4.4 oz),0,"September 23, 2022 1:10 AM (CDT)","Amazon, Kroger, Walmart","Sardines, soybean oil, salt",,"Accomodation Food, Staple, Stellar PS Ratio (+3), fish, low sodium protein",https://www.notion.so/Sardines-a55975d56aaf4f088dbdbaf7e91b9d70,26,6,1,0,250,18,15,30,,,N/A,3.31,,,,1,,packs,0,25,,,0,"https://www.notion.so/1-sardines-89c3a75bd5824f3c8c96762bed6b3a72, https://www.notion.so/1-sardines-9403ea959831447498ae2ca9dfaab567","(x sale, $y regular, $z retail) per can → 
(x sale, $y regular, $z retail) per gram of protein",,"Vitamin D (25%), vitamin B12 (x), Choline (x), iron (15%), lutein and zeaxanthin (x) (up to 6 mg recommended), Vitamin B2 (x), Vitamin B5 (x), Vitamin A (x), vitamin E (x), phosphorus (x), folate (x), iodine (x), selenium (x), zinc (x), potassium(8%), calcium (30%)",,,,,36.63,,,,,,"July 17, 2022 4:49 AM","December 13, 2022 5:36 AM",
Thrive Honey,,,0,"July 16, 2022 6:10 PM (CDT)",Thrive Market,,,Strength: Potassium,,0,0,0,17,0,0,,,,,0,N/A,,,,17,0,"Bottle ",,,,,17,"https://www.notion.so/Honey-157c6a84d3fa4ea9b0b93d03b52b5bf5, https://www.notion.so/Honey-35462f08fcbe4230a1bd19263d653cb8, https://www.notion.so/2-67-servings-honey-01a269b59e5e40cda919a18a667dce0b, https://www.notion.so/2-servings-honey-519a1f8329d540dab05b4a45e9f9fe7b, https://www.notion.so/1-serving-honey-9d40b36edf0349989fb1c2e6db99d4c9, https://www.notion.so/1-8-cup-43g-honey-e09a788c27274c058edbdd93493b885f, https://www.notion.so/honey-0b23fbf35f824d08a08416f676d9daf6, https://www.notion.so/28-g-honey-37532fc9676e4b138024a4ea2ada4073, https://www.notion.so/28-g-honey-f5e9da8955c24e3eaa5eb4f3fc6ef0c9, https://www.notion.so/21-g-honey-e6232d3b221a4789ae8c251e2a1aae05, https://www.notion.so/33-g-honey-130889b9de574ef2a6cd25a7bf415a49, https://www.notion.so/42-g-honey-2-table-spoonful-worth-of-honey-862fd2c784ae4f53b8dc883f7f542059, https://www.notion.so/31-g-honey-1-5-tbsp-3e56ee11bf734269b19a12ef71b23e3f, https://www.notion.so/21-g-honey-1-tbsp-f3a02bcf97b2437a9ae0c53b613da9bd, https://www.notion.so/32-g-honey-1-5-tbsp-de20f571e22844afb5e718b9a7843c6d",,$0.344 ($4.12/12 = $0.3433333333),,,,,,,,,,,,"July 16, 2022 7:08 PM","December 3, 2022 11:43 PM",10.9
Terra plantain chips,"grains, vegetables",15 chips (1 oz / 28 g),0,"July 26, 2022 7:38 AM (CDT)",Thrive Market,,,"Accomodation Food, Good PS Ratio (1.5 <= x < 3), Staple, Stellar FS Ratio (+3), Thrive Values: Non-GMO, Thrive Values: gluten-free, Thrive values: plant-based, Thrive values: vegan, Thrive values: vegetarian, snacks",https://www.notion.so/Potato-chips-654a8ebf05c14d559d9c55ac0b76f0c9,,,2,0.5,68,,0,2,Thrive Market,,8,N/A,,,,,0,large bags (16 servings per bag),0,0,2.57,1.4,0,,,L,,,,,,,,,,,,"July 11, 2022 9:47 PM","December 3, 2022 1:20 AM",
"On The Border Tortilla Chips, Cafe Style","grains, vegetables",15 chips (1 oz / 28 g),0,"July 26, 2022 7:39 AM (CDT)",Thrive Market,"stone ground blue corn, corn oil and/or sunflower oil, sea salt.",,"Accomodation Food, Good PS Ratio (1.5 <= x < 3), Staple, Stellar FS Ratio (+3), Thrive Values: Non-GMO, Thrive Values: gluten-free, Thrive values: plant-based, Thrive values: vegan, Thrive values: vegetarian, snacks",https://www.notion.so/Potato-chips-654a8ebf05c14d559d9c55ac0b76f0c9,8,2,2,0,115,2,0,2,Thrive Market,,N/A,0.8,,,,17,0,large bags (16 servings per bag),0,0,2.57,1.4,0,"https://www.notion.so/3-serving-those-tortilla-chips-but-I-will-put-on-the-border-as-a-placeholder-45d7003de0c94e36b9fce606c8046e27, https://www.notion.so/1-5-2-servings-of-tortilla-chips-91a00432199543d09d344eaff20cde41",,L,,,,,,,,,,,,"July 4, 2022 11:21 PM","July 26, 2022 8:39 AM",
Conrad’s Chickpeas-oat microwave Steamed buns (bread),"grains, protein",1 grain serving (about 50g?),0,"September 23, 2022 1:09 AM (CDT)",Conrad Hansen-Quartey (myself),,"PS ratio was 9.28. But when i factored in the baking soda for the sodium, the PS ratio dropped to 1.09","Mediocre FS Ratio (0.8 <= x < 1), Ok PS Ratio (1 <= x < 1.5), Strength: Vitamin B1, Update potassium from oats",https://www.notion.so/bread-b283a119761f4df7a519c8fd1c3cdc30,10.88,1.7,4,8.8,344,8.17,8,,,,0.91,1.09,,,,27.85,0,Bun (2 servings),,,,,0,"https://www.notion.so/Summary-of-chickpea-oat-bread-reduced-sugar-7249d3548bdf4d6cb7ecc2546bc9696a, https://www.notion.so/0-6-chickpea-oat-bread-3e63a78d43bb42a597cebbafec23668f, https://www.notion.so/2-serving-chickpea-oat-bread-73f620580d8a45ea9ae8654882f2f4a8",,,,,,39.34,,16.1,9.51,31.48,40.66,,137.04,"July 4, 2022 9:56 AM","December 3, 2022 12:36 AM",
"Conrad’s fried Chickpeas-oat Fritters v2 - from 100g batter ","grains, protein",,0,"July 4, 2022 9:54 AM",Conrad Hansen-Quartey (myself),,,Strength: Vitamin B1,https://www.notion.so/bread-b283a119761f4df7a519c8fd1c3cdc30,9,1,4,3,5,6,8,,,,2.67,55.2,,,,,,,,,,,0,"https://www.notion.so/chickpeas-bread-cd2aa72f2ef1476a97234608031de3e1, https://www.notion.so/chiickpea-bread-e626aca2ceb54404888dd09b544e348b",,,,,,39.34,,16.1,9.51,31.48,40.66,,137.04,"July 4, 2022 9:52 AM","December 3, 2022 12:37 AM",
Conrad’s fried Chickpeas-oat FRITTERS,"grains, protein",,0,"June 26, 2022 2:35 PM (CDT)",Conrad Hansen-Quartey (myself),,,Strength: Vitamin B1,https://www.notion.so/bread-b283a119761f4df7a519c8fd1c3cdc30,9,1,4,3,5,6,8,,,,2.67,55.2,,,,,,,,,,,0,"https://www.notion.so/chickpeas-bread-cd2aa72f2ef1476a97234608031de3e1, https://www.notion.so/chiickpea-bread-e626aca2ceb54404888dd09b544e348b",,,,,,39.34,,16.1,9.51,31.48,40.66,,137.04,"July 3, 2022 9:53 PM","December 3, 2022 12:37 AM",
[DO not Eat] Kroger Bakery Chocolate Chip Cookies,grains,Cookie,0,"July 1, 2022 10:47 PM (CDT)",Kroger,"Keto: net carbs 19g
•  3 tsp of added sugars per serving
•  3 tsp of sugars per serving
•  Contains trans-fats! Even if label says 0!
•  For dieters: FoodPoints value is 4
• 
    ◦  Highly Processed!
    ◦  Contains artificial flavors. Learn why
    ◦  Natural flavors added. Learn why
    ◦  Learn about soy lecithin, found here
    ◦  Sodium Aluminum Phosphate",,"do not eat, snacks",https://www.notion.so/Chocolate-Chip-cookies-0896ee1f40aa468fbbfc99369d6db63f,,,,12,,,,,,,N/A,N/A,,,,,0,Packages (of 16 cookies),,,,,3,,,,,,,,,,,,,,,"July 1, 2022 11:43 PM","October 27, 2022 10:31 PM",
Taste of Home Baked Macaroni and cheese,,1 cup serving,0,"June 25, 2022 7:24 PM (CDT)",Friend's house,,,,https://www.notion.so/Macaroni-and-cheese-573c57f42a5346179c2e9efb1b57baac,37,22,3,10,834,28,,,,,0.6,1.54,,,,62,0,1 cup serving,,,,,0,https://www.notion.so/macaroni-and-cheese-120g-07d7a32fc8d3473298c207efa0499f29,,,,,,,,,,,,,,"June 25, 2022 8:24 PM","June 25, 2022 8:25 PM",
Conrad’s fried Chickpeas Fritter,"grains, protein",,0,"June 26, 2022 2:35 PM (CDT)",Conrad Hansen-Quartey (myself),,,Strength: Vitamin B1,https://www.notion.so/bread-b283a119761f4df7a519c8fd1c3cdc30,9,1,4,3,5,6,8,,,,2.67,55.2,,,,,,,,,,,0,"https://www.notion.so/chickpeas-bread-cd2aa72f2ef1476a97234608031de3e1, https://www.notion.so/chiickpea-bread-e626aca2ceb54404888dd09b544e348b",,,,,,39.34,,16.1,9.51,31.48,40.66,,137.04,"June 25, 2022 2:39 AM","December 3, 2022 12:36 AM",
Maya Kaimal Organic Surekha Rice - Tumeric and Cumin,grains,servings (1 cup),0,"June 21, 2022 10:27 PM (CDT)",Thrive Market,"Water, surekha rice*, sunflower oil*, sea salt, cumin seed*, turmeric* (* means Organically grown and processed)",,,https://www.notion.so/white-rice-packets-50469ab634a84f94b03849ff4238fad6,6,0.5,1,0,290,5,4,4,,,N/A,0.79,,,,51,0,packet (1.5 servings per packet),,0,,,0,"https://www.notion.so/1-packet-Maya-Kaimal-rice-1-5-servings-774a996155c1424eba87b3249c861d1d, https://www.notion.so/176g-yellow-rice-used-placeholder-1615ec9815e2439589a702b4f85021b9",,,,Pantry,,,,,,,,,,"June 21, 2022 11:27 PM","June 21, 2022 11:30 PM",
